record_time_ms,experiment_label,run_number,test_step,location,pattern,expected_tag_count,session_id,configured_scan_time_sec,row_type,actual_scan_time_ms,first_read_time_all_ms,first_valid_read_time_ms,total_unique_tags,valid_tag_count,recognition_rate_pct,ghost_read_count,raw_tag_id,server_tag_id,tag_read_count,tag_first_read_time_ms,passed_minimum_rule,server_send_state,memo
69089,default,1,phase1,unknown,unknown,0,1,10,SUMMARY,10030,441,441,5,5,0.00,0,,49543030|BB000001|CC000001|CC000003|CC000004,,,Y,DISABLED,
69089,default,1,phase1,unknown,unknown,0,1,10,TAG,10030,441,441,5,5,0.00,0,U3400495430303030360000000000919F,49543030,12,441,Y,DISABLED,
69089,default,1,phase1,unknown,unknown,0,1,10,TAG,10030,441,441,5,5,0.00,0,U3400BB00000100000217C8174555167E,BB000001,5,1943,Y,DISABLED,
69089,default,1,phase1,unknown,unknown,0,1,10,TAG,10030,441,441,5,5,0.00,0,U3400CC00000100000217C81709A53D3B,CC000001,6,1049,Y,DISABLED,
69089,default,1,phase1,unknown,unknown,0,1,10,TAG,10030,441,441,5,5,0.00,0,U3400CC00000300000217C81709D585CB,CC000003,13,1142,Y,DISABLED,
69089,default,1,phase1,unknown,unknown,0,1,10,TAG,10030,441,441,5,5,0.00,0,U3400CC00000400000217C81709B558C6,CC000004,5,2952,Y,DISABLED,
81294,default,1,phase1,unknown,unknown,0,2,10,SUMMARY,10034,240,443,6,4,0.00,0,,49543030|CC000001|CC000003|CC000004,,,Y,DISABLED,
81294,default,1,phase1,unknown,unknown,0,2,10,TAG,10034,240,443,6,4,0.00,0,U3400495430303030360000000000919F,49543030,7,639,Y,DISABLED,
81294,default,1,phase1,unknown,unknown,0,2,10,TAG,10034,240,443,6,4,0.00,0,U3400AA00001100000217C81709175182,,1,3260,N,NO,
81294,default,1,phase1,unknown,unknown,0,2,10,TAG,10034,240,443,6,4,0.00,0,U3400BB00000100000217C8174555167E,,4,240,N,NO,
81294,default,1,phase1,unknown,unknown,0,2,10,TAG,10034,240,443,6,4,0.00,0,U3400CC00000100000217C81709A53D3B,CC000001,6,1240,Y,DISABLED,
81294,default,1,phase1,unknown,unknown,0,2,10,TAG,10034,240,443,6,4,0.00,0,U3400CC00000300000217C81709D585CB,CC000003,17,443,Y,DISABLED,
81294,default,1,phase1,unknown,unknown,0,2,10,TAG,10034,240,443,6,4,0.00,0,U3400CC00000400000217C81709B558C6,CC000004,7,3258,Y,DISABLED,
93299,default,1,phase1,unknown,unknown,0,3,10,SUMMARY,10039,646,646,5,4,0.00,0,,49543030|CC000001|CC000003|CC000004,,,Y,DISABLED,
93299,default,1,phase1,unknown,unknown,0,3,10,TAG,10039,646,646,5,4,0.00,0,U3400495430303030360000000000919F,49543030,12,840,Y,DISABLED,
93299,default,1,phase1,unknown,unknown,0,3,10,TAG,10039,646,646,5,4,0.00,0,U3400BB00000100000217C8174555167E,,3,3367,N,NO,
93299,default,1,phase1,unknown,unknown,0,3,10,TAG,10039,646,646,5,4,0.00,0,U3400CC00000100000217C81709A53D3B,CC000001,6,1449,Y,DISABLED,
93299,default,1,phase1,unknown,unknown,0,3,10,TAG,10039,646,646,5,4,0.00,0,U3400CC00000300000217C81709D585CB,CC000003,16,646,Y,DISABLED,
93299,default,1,phase1,unknown,unknown,0,3,10,TAG,10039,646,646,5,4,0.00,0,U3400CC00000400000217C81709B558C6,CC000004,7,1540,Y,DISABLED,
105804,default,1,phase1,unknown,unknown,0,4,10,SUMMARY,10013,739,970,5,3,0.00,0,,49543030|CC000001|CC000003,,,Y,DISABLED,
105804,default,1,phase1,unknown,unknown,0,4,10,TAG,10013,739,970,5,3,0.00,0,U3400495430303030360000000000919F,49543030,9,1139,Y,DISABLED,
105804,default,1,phase1,unknown,unknown,0,4,10,TAG,10013,739,970,5,3,0.00,0,U3400BB00000100000217C8174555167E,,4,739,N,NO,
105804,default,1,phase1,unknown,unknown,0,4,10,TAG,10013,739,970,5,3,0.00,0,U3400CC00000100000217C81709A53D3B,CC000001,6,1747,Y,DISABLED,
105804,default,1,phase1,unknown,unknown,0,4,10,TAG,10013,739,970,5,3,0.00,0,U3400CC00000300000217C81709D585CB,CC000003,16,970,Y,DISABLED,
105804,default,1,phase1,unknown,unknown,0,4,10,TAG,10013,739,970,5,3,0.00,0,U3400CC00000400000217C81709B558C6,,3,3654,N,NO,
118508,default,1,phase1,unknown,unknown,0,5,10,SUMMARY,10037,838,1044,5,4,0.00,0,,49543030|CC000001|CC000003|CC000004,,,Y,DISABLED,
118508,default,1,phase1,unknown,unknown,0,5,10,TAG,10037,838,1044,5,4,0.00,0,U3400495430303030360000000000919F,49543030,5,1850,Y,DISABLED,
118508,default,1,phase1,unknown,unknown,0,5,10,TAG,10037,838,1044,5,4,0.00,0,U3400BB00000100000217C8174555167E,,3,838,N,NO,
118508,default,1,phase1,unknown,unknown,0,5,10,TAG,10037,838,1044,5,4,0.00,0,U3400CC00000100000217C81709A53D3B,CC000001,7,1848,Y,DISABLED,
118508,default,1,phase1,unknown,unknown,0,5,10,TAG,10037,838,1044,5,4,0.00,0,U3400CC00000300000217C81709D585CB,CC000003,18,1044,Y,DISABLED,
118508,default,1,phase1,unknown,unknown,0,5,10,TAG,10037,838,1044,5,4,0.00,0,U3400CC00000400000217C81709B558C6,CC000004,6,3547,Y,DISABLED,
