record_time_ms,experiment_label,run_number,test_step,location,pattern,expected_tag_count,session_id,configured_scan_time_sec,row_type,actual_scan_time_ms,first_read_time_all_ms,first_valid_read_time_ms,total_unique_tags,valid_tag_count,recognition_rate_pct,ghost_read_count,raw_tag_id,server_tag_id,tag_read_count,tag_first_read_time_ms,passed_minimum_rule,server_send_state,memo
71289,default,1,phase1,unknown,unknown,0,1,10,SUMMARY,10060,149,149,5,3,0.00,0,,49543030|AA000009|AA000010,,,Y,DISABLED,
71289,default,1,phase1,unknown,unknown,0,1,10,TAG,10060,149,149,5,3,0.00,0,U3400495430303030330000000000D29E,49543030,5,278,Y,DISABLED,
71289,default,1,phase1,unknown,unknown,0,1,10,TAG,10060,149,149,5,3,0.00,0,U3400AA00000900000217C816B995B374,AA000009,27,149,Y,DISABLED,
71289,default,1,phase1,unknown,unknown,0,1,10,TAG,10060,149,149,5,3,0.00,0,U3400AA00001000000217C816B9B50634,AA000010,8,2042,Y,DISABLED,
71289,default,1,phase1,unknown,unknown,0,1,10,TAG,10060,149,149,5,3,0.00,0,U3400AA00001100000217C81709175182,,2,151,N,NO,
71289,default,1,phase1,unknown,unknown,0,1,10,TAG,10060,149,149,5,3,0.00,0,U3400AA00002000000217C816D39532B5,,3,2252,N,NO,
83793,default,1,phase1,unknown,unknown,0,2,10,SUMMARY,10063,256,258,5,3,0.00,0,,49543030|AA000009|AA000010,,,Y,DISABLED,
83793,default,1,phase1,unknown,unknown,0,2,10,TAG,10063,256,258,5,3,0.00,0,U3400495430303030330000000000D29E,49543030,7,348,Y,DISABLED,
83793,default,1,phase1,unknown,unknown,0,2,10,TAG,10063,256,258,5,3,0.00,0,U3400AA00000900000217C816B995B374,AA000009,26,258,Y,DISABLED,
83793,default,1,phase1,unknown,unknown,0,2,10,TAG,10063,256,258,5,3,0.00,0,U3400AA00001000000217C816B9B50634,AA000010,7,4043,Y,DISABLED,
83793,default,1,phase1,unknown,unknown,0,2,10,TAG,10063,256,258,5,3,0.00,0,U3400AA00001100000217C81709175182,,1,260,N,NO,
83793,default,1,phase1,unknown,unknown,0,2,10,TAG,10063,256,258,5,3,0.00,0,U3400AA00002000000217C816D39532B5,,2,256,N,NO,
98398,default,1,phase1,unknown,unknown,0,3,10,SUMMARY,10018,349,349,5,3,0.00,0,,49543030|AA000009|AA000010,,,Y,DISABLED,
98398,default,1,phase1,unknown,unknown,0,3,10,TAG,10018,349,349,5,3,0.00,0,U3400495430303030330000000000D29E,49543030,10,452,Y,DISABLED,
98398,default,1,phase1,unknown,unknown,0,3,10,TAG,10018,349,349,5,3,0.00,0,U3400AA00000900000217C816B995B374,AA000009,23,349,Y,DISABLED,
98398,default,1,phase1,unknown,unknown,0,3,10,TAG,10018,349,349,5,3,0.00,0,U3400AA00001000000217C816B9B50634,AA000010,9,481,Y,DISABLED,
98398,default,1,phase1,unknown,unknown,0,3,10,TAG,10018,349,349,5,3,0.00,0,U3400AA00001100000217C81709175182,,1,351,N,NO,
98398,default,1,phase1,unknown,unknown,0,3,10,TAG,10018,349,349,5,3,0.00,0,U3400AA00002000000217C816D39532B5,,1,5447,N,NO,
111502,default,1,phase1,unknown,unknown,0,4,10,SUMMARY,10071,247,555,5,2,0.00,0,,49543030|AA000009,,,Y,DISABLED,
111502,default,1,phase1,unknown,unknown,0,4,10,TAG,10071,247,555,5,2,0.00,0,U3400495430303030330000000000D29E,49543030,7,657,Y,DISABLED,
111502,default,1,phase1,unknown,unknown,0,4,10,TAG,10071,247,555,5,2,0.00,0,U3400AA00000900000217C816B995B374,AA000009,23,555,Y,DISABLED,
111502,default,1,phase1,unknown,unknown,0,4,10,TAG,10071,247,555,5,2,0.00,0,U3400AA00001000000217C816B9B50634,,4,247,N,NO,
111502,default,1,phase1,unknown,unknown,0,4,10,TAG,10071,247,555,5,2,0.00,0,U3400AA00001100000217C81709175182,,2,559,N,NO,
111502,default,1,phase1,unknown,unknown,0,4,10,TAG,10071,247,555,5,2,0.00,0,U3400AA00002000000217C816D39532B5,,4,557,N,NO,
125206,default,1,phase1,unknown,unknown,0,5,10,SUMMARY,10045,157,159,5,3,0.00,0,,49543030|AA000009|AA000010,,,Y,DISABLED,
125206,default,1,phase1,unknown,unknown,0,5,10,TAG,10045,157,159,5,3,0.00,0,U3400495430303030330000000000D29E,49543030,5,159,Y,DISABLED,
125206,default,1,phase1,unknown,unknown,0,5,10,TAG,10045,157,159,5,3,0.00,0,U3400AA00000900000217C816B995B374,AA000009,26,161,Y,DISABLED,
125206,default,1,phase1,unknown,unknown,0,5,10,TAG,10045,157,159,5,3,0.00,0,U3400AA00001000000217C816B9B50634,AA000010,6,3938,Y,DISABLED,
125206,default,1,phase1,unknown,unknown,0,5,10,TAG,10045,157,159,5,3,0.00,0,U3400AA00001100000217C81709175182,,1,157,N,NO,
125206,default,1,phase1,unknown,unknown,0,5,10,TAG,10045,157,159,5,3,0.00,0,U3400AA00002000000217C816D39532B5,,4,750,N,NO,
