record_time_ms,experiment_label,run_number,test_step,location,pattern,expected_tag_count,session_id,configured_scan_time_sec,row_type,actual_scan_time_ms,first_read_time_all_ms,first_valid_read_time_ms,total_unique_tags,valid_tag_count,recognition_rate_pct,ghost_read_count,raw_tag_id,server_tag_id,tag_read_count,tag_first_read_time_ms,passed_minimum_rule,server_send_state,memo
53090,default,1,phase1,unknown,unknown,0,1,10,SUMMARY,10080,156,156,7,4,0.00,0,,49543030|AA000009|AA000010|AA000016,,,Y,DISABLED,
53090,default,1,phase1,unknown,unknown,0,1,10,TAG,10080,156,156,7,4,0.00,0,U30004954303030313100000000001C1A,,1,158,N,NO,
53090,default,1,phase1,unknown,unknown,0,1,10,TAG,10080,156,156,7,4,0.00,0,U3400495430303030330000000000D29E,49543030,12,160,Y,DISABLED,
53090,default,1,phase1,unknown,unknown,0,1,10,TAG,10080,156,156,7,4,0.00,0,U3400AA00000900000217C816B995B374,AA000009,15,340,Y,DISABLED,
53090,default,1,phase1,unknown,unknown,0,1,10,TAG,10080,156,156,7,4,0.00,0,U3400AA00001000000217C816B9B50634,AA000010,54,156,Y,DISABLED,
53090,default,1,phase1,unknown,unknown,0,1,10,TAG,10080,156,156,7,4,0.00,0,U3400AA00001600000217C81695F447D2,AA000016,11,661,Y,DISABLED,
53090,default,1,phase1,unknown,unknown,0,1,10,TAG,10080,156,156,7,4,0.00,0,U3400AA00001900000217C81695E4CDB7,,2,3093,N,NO,
53090,default,1,phase1,unknown,unknown,0,1,10,TAG,10080,156,156,7,4,0.00,0,U3400BB00000200000217C8174535579C,,2,5358,N,NO,
66497,default,1,phase1,unknown,unknown,0,2,10,SUMMARY,10016,240,240,7,4,0.00,0,,49543030|AA000009|AA000010|AA000016,,,Y,DISABLED,
66497,default,1,phase1,unknown,unknown,0,2,10,TAG,10016,240,240,7,4,0.00,0,U3400495430303030330000000000D29E,49543030,12,670,Y,DISABLED,
66497,default,1,phase1,unknown,unknown,0,2,10,TAG,10016,240,240,7,4,0.00,0,U3400AA00000200000217C81709352B18,,1,502,N,NO,
