record_time_ms,experiment_label,run_number,test_step,location,pattern,expected_tag_count,session_id,configured_scan_time_sec,row_type,actual_scan_time_ms,first_read_time_all_ms,first_valid_read_time_ms,total_unique_tags,valid_tag_count,recognition_rate_pct,ghost_read_count,raw_tag_id,server_tag_id,tag_read_count,tag_first_read_time_ms,passed_minimum_rule,server_send_state,memo
87289,default,1,phase1,unknown,unknown,0,1,10,SUMMARY,10060,1138,1138,4,2,0.00,0,,49543030|AA000010,,,Y,DISABLED,
87289,default,1,phase1,unknown,unknown,0,1,10,TAG,10060,1138,1138,4,2,0.00,0,U3400495430303030330000000000D29E,49543030,7,1138,Y,DISABLED,
87289,default,1,phase1,unknown,unknown,0,1,10,TAG,10060,1138,1138,4,2,0.00,0,U3400AA00001000000217C816B9B50634,AA000010,6,1738,Y,DISABLED,
87289,default,1,phase1,unknown,unknown,0,1,10,TAG,10060,1138,1138,4,2,0.00,0,U3400BB00000100000217C8174555167E,,1,8679,N,NO,
87289,default,1,phase1,unknown,unknown,0,1,10,TAG,10060,1138,1138,4,2,0.00,0,U3400CC00000100000217C81709A53D3B,,1,9552,N,NO,
100193,default,1,phase1,unknown,unknown,0,2,10,SUMMARY,10063,1738,1738,5,2,0.00,0,,49543030|AA000010,,,Y,DISABLED,
100193,default,1,phase1,unknown,unknown,0,2,10,TAG,10063,1738,1738,5,2,0.00,0,U3400495430303030330000000000D29E,49543030,7,3639,Y,DISABLED,
100193,default,1,phase1,unknown,unknown,0,2,10,TAG,10063,1738,1738,5,2,0.00,0,U3400AA00001000000217C816B9B50634,AA000010,7,1738,Y,DISABLED,
100193,default,1,phase1,unknown,unknown,0,2,10,TAG,10063,1738,1738,5,2,0.00,0,U3400BB00000100000217C8174555167E,,1,8646,N,NO,
100193,default,1,phase1,unknown,unknown,0,2,10,TAG,10063,1738,1738,5,2,0.00,0,U3400CC00000100000217C81709A53D3B,,1,4576,N,NO,
100193,default,1,phase1,unknown,unknown,0,2,10,TAG,10063,1738,1738,5,2,0.00,0,U3400CC00000300000217C81709D585CB,,1,8713,N,NO,
112497,default,1,phase1,unknown,unknown,0,3,10,SUMMARY,10007,1241,1241,5,2,0.00,0,,49543030|AA000010,,,Y,DISABLED,
112497,default,1,phase1,unknown,unknown,0,3,10,TAG,10007,1241,1241,5,2,0.00,0,U3400495430303030330000000000D29E,49543030,6,1241,Y,DISABLED,
112497,default,1,phase1,unknown,unknown,0,3,10,TAG,10007,1241,1241,5,2,0.00,0,U3400AA00001000000217C816B9B50634,AA000010,6,1838,Y,DISABLED,
112497,default,1,phase1,unknown,unknown,0,3,10,TAG,10007,1241,1241,5,2,0.00,0,U3400AA00001600000217C81695F447D2,,1,4918,N,NO,
112497,default,1,phase1,unknown,unknown,0,3,10,TAG,10007,1241,1241,5,2,0.00,0,U3400BB00000100000217C8174555167E,,1,3776,N,NO,
112497,default,1,phase1,unknown,unknown,0,3,10,TAG,10007,1241,1241,5,2,0.00,0,U3400CC00000300000217C81709D585CB,,1,4879,N,NO,
124701,default,1,phase1,unknown,unknown,0,4,10,SUMMARY,10060,2038,2038,4,2,0.00,0,,49543030|AA000010,,,Y,DISABLED,
124701,default,1,phase1,unknown,unknown,0,4,10,TAG,10060,2038,2038,4,2,0.00,0,U3400495430303030330000000000D29E,49543030,7,3941,Y,DISABLED,
124701,default,1,phase1,unknown,unknown,0,4,10,TAG,10060,2038,2038,4,2,0.00,0,U3400AA00001000000217C816B9B50634,AA000010,5,2038,Y,DISABLED,
124701,default,1,phase1,unknown,unknown,0,4,10,TAG,10060,2038,2038,4,2,0.00,0,U3400AA00001600000217C81695F447D2,,1,4982,N,NO,
124701,default,1,phase1,unknown,unknown,0,4,10,TAG,10060,2038,2038,4,2,0.00,0,U3400BB00000100000217C8174555167E,,1,4953,N,NO,
136905,default,1,phase1,unknown,unknown,0,5,10,SUMMARY,10043,2138,4053,4,1,0.00,0,,49543030,,,Y,DISABLED,
136905,default,1,phase1,unknown,unknown,0,5,10,TAG,10043,2138,4053,4,1,0.00,0,U3400495430303030330000000000D29E,49543030,5,4053,Y,DISABLED,
136905,default,1,phase1,unknown,unknown,0,5,10,TAG,10043,2138,4053,4,1,0.00,0,U3400AA00001000000217C816B9B50634,,4,2138,N,NO,
136905,default,1,phase1,unknown,unknown,0,5,10,TAG,10043,2138,4053,4,1,0.00,0,U3400BB00000100000217C8174555167E,,2,4055,N,NO,
136905,default,1,phase1,unknown,unknown,0,5,10,TAG,10043,2138,4053,4,1,0.00,0,U3400CC00000300000217C81709D585CB,,2,5051,N,NO,
