record_time_ms,experiment_label,run_number,test_step,location,pattern,expected_tag_count,session_id,configured_scan_time_sec,row_type,actual_scan_time_ms,first_read_time_all_ms,first_valid_read_time_ms,total_unique_tags,valid_tag_count,recognition_rate_pct,ghost_read_count,raw_tag_id,server_tag_id,tag_read_count,tag_first_read_time_ms,passed_minimum_rule,server_send_state,memo
72290,default,1,phase1,unknown,unknown,0,1,10,SUMMARY,10100,141,141,6,6,0.00,0,,49543030|AA000010|BB000001|CC000001|CC000003|CC000004,,,Y,DISABLED,
72290,default,1,phase1,unknown,unknown,0,1,10,TAG,10100,141,141,6,6,0.00,0,U3400495430303030360000000000919F,49543030,16,250,Y,DISABLED,
72290,default,1,phase1,unknown,unknown,0,1,10,TAG,10100,141,141,6,6,0.00,0,U3400AA00001000000217C816B9B50634,AA000010,76,141,Y,DISABLED,
72290,default,1,phase1,unknown,unknown,0,1,10,TAG,10100,141,141,6,6,0.00,0,U3400BB00000100000217C8174555167E,BB000001,6,1249,Y,DISABLED,
72290,default,1,phase1,unknown,unknown,0,1,10,TAG,10100,141,141,6,6,0.00,0,U3400CC00000100000217C81709A53D3B,CC000001,6,278,Y,DISABLED,
72290,default,1,phase1,unknown,unknown,0,1,10,TAG,10100,141,141,6,6,0.00,0,U3400CC00000300000217C81709D585CB,CC000003,9,460,Y,DISABLED,
72290,default,1,phase1,unknown,unknown,0,1,10,TAG,10100,141,141,6,6,0.00,0,U3400CC00000400000217C81709B558C6,CC000004,5,456,Y,DISABLED,
86396,default,1,phase1,unknown,unknown,0,2,10,SUMMARY,10005,139,139,6,5,0.00,0,,49543030|AA000010|BB000001|CC000001|CC000003,,,Y,DISABLED,
86396,default,1,phase1,unknown,unknown,0,2,10,TAG,10005,139,139,6,5,0.00,0,U3400495430303030360000000000919F,49543030,12,349,Y,DISABLED,
86396,default,1,phase1,unknown,unknown,0,2,10,TAG,10005,139,139,6,5,0.00,0,U3400AA00001000000217C816B9B50634,AA000010,76,139,Y,DISABLED,
86396,default,1,phase1,unknown,unknown,0,2,10,TAG,10005,139,139,6,5,0.00,0,U3400BB00000100000217C8174555167E,BB000001,10,1549,Y,DISABLED,
86396,default,1,phase1,unknown,unknown,0,2,10,TAG,10005,139,139,6,5,0.00,0,U3400CC00000100000217C81709A53D3B,CC000001,7,560,Y,DISABLED,
86396,default,1,phase1,unknown,unknown,0,2,10,TAG,10005,139,139,6,5,0.00,0,U3400CC00000300000217C81709D585CB,CC000003,13,249,Y,DISABLED,
86396,default,1,phase1,unknown,unknown,0,2,10,TAG,10005,139,139,6,5,0.00,0,U3400CC00000400000217C81709B558C6,,4,649,N,NO,
123601,default,1,phase1,unknown,unknown,0,3,10,SUMMARY,10090,144,144,6,5,0.00,0,,49543030|AA000010|BB000001|CC000001|CC000003,,,Y,DISABLED,
123601,default,1,phase1,unknown,unknown,0,3,10,TAG,10090,144,144,6,5,0.00,0,U3400495430303030360000000000919F,49543030,15,339,Y,DISABLED,
123601,default,1,phase1,unknown,unknown,0,3,10,TAG,10090,144,144,6,5,0.00,0,U3400AA00001000000217C816B9B50634,AA000010,78,144,Y,DISABLED,
123601,default,1,phase1,unknown,unknown,0,3,10,TAG,10090,144,144,6,5,0.00,0,U3400BB00000100000217C8174555167E,BB000001,5,2150,Y,DISABLED,
123601,default,1,phase1,unknown,unknown,0,3,10,TAG,10090,144,144,6,5,0.00,0,U3400CC00000100000217C81709A53D3B,CC000001,6,959,Y,DISABLED,
123601,default,1,phase1,unknown,unknown,0,3,10,TAG,10090,144,144,6,5,0.00,0,U3400CC00000300000217C81709D585CB,CC000003,15,651,Y,DISABLED,
138907,default,1,phase1,unknown,unknown,0,4,10,SUMMARY,10074,140,140,6,5,0.00,0,,49543030|AA000010|BB000001|CC000001|CC000003,,,Y,DISABLED,
138907,default,1,phase1,unknown,unknown,0,4,10,TAG,10074,140,140,6,5,0.00,0,U3400495430303030360000000000919F,49543030,10,1180,Y,DISABLED,
138907,default,1,phase1,unknown,unknown,0,4,10,TAG,10074,140,140,6,5,0.00,0,U3400AA00001000000217C816B9B50634,AA000010,76,140,Y,DISABLED,
138907,default,1,phase1,unknown,unknown,0,4,10,TAG,10074,140,140,6,5,0.00,0,U3400BB00000100000217C8174555167E,BB000001,7,2175,Y,DISABLED,
138907,default,1,phase1,unknown,unknown,0,4,10,TAG,10074,140,140,6,5,0.00,0,U3400CC00000100000217C81709A53D3B,CC000001,5,1182,Y,DISABLED,
138907,default,1,phase1,unknown,unknown,0,4,10,TAG,10074,140,140,6,5,0.00,0,U3400CC00000300000217C81709D585CB,CC000003,10,1350,Y,DISABLED,
138907,default,1,phase1,unknown,unknown,0,4,10,TAG,10074,140,140,6,5,0.00,0,U3400CC00000400000217C81709B558C6,,2,3156,N,NO,
208812,default,1,phase1,unknown,unknown,0,5,10,SUMMARY,10020,242,242,6,5,0.00,0,,49543030|AA000010|BB000001|CC000001|CC000003,,,Y,DISABLED,
208812,default,1,phase1,unknown,unknown,0,5,10,TAG,10020,242,242,6,5,0.00,0,U3400495430303030360000000000919F,49543030,13,450,Y,DISABLED,
208812,default,1,phase1,unknown,unknown,0,5,10,TAG,10020,242,242,6,5,0.00,0,U3400AA00001000000217C816B9B50634,AA000010,78,242,Y,DISABLED,
208812,default,1,phase1,unknown,unknown,0,5,10,TAG,10020,242,242,6,5,0.00,0,U3400BB00000100000217C8174555167E,BB000001,5,2576,Y,DISABLED,
208812,default,1,phase1,unknown,unknown,0,5,10,TAG,10020,242,242,6,5,0.00,0,U3400CC00000100000217C81709A53D3B,CC000001,7,1658,Y,DISABLED,
208812,default,1,phase1,unknown,unknown,0,5,10,TAG,10020,242,242,6,5,0.00,0,U3400CC00000300000217C81709D585CB,CC000003,11,852,Y,DISABLED,
208812,default,1,phase1,unknown,unknown,0,5,10,TAG,10020,242,242,6,5,0.00,0,U3400CC00000400000217C81709B558C6,,3,3562,N,NO,
