record_time_ms,experiment_label,run_number,test_step,location,pattern,expected_tag_count,session_id,configured_scan_time_sec,row_type,actual_scan_time_ms,first_read_time_all_ms,first_valid_read_time_ms,total_unique_tags,valid_tag_count,recognition_rate_pct,ghost_read_count,raw_tag_id,server_tag_id,tag_read_count,tag_first_read_time_ms,passed_minimum_rule,server_send_state,memo
381090,default,1,phase1,unknown,unknown,0,1,10,SUMMARY,10060,139,139,8,8,0.00,0,,49543030|AA000001|AA000010|AA000011|AA000015|AA000019|BB000002|BB000008,,,Y,DISABLED,
381090,default,1,phase1,unknown,unknown,0,1,10,TAG,10060,139,139,8,8,0.00,0,U3400495430303030330000000000D29E,49543030,15,381,Y,DISABLED,
381090,default,1,phase1,unknown,unknown,0,1,10,TAG,10060,139,139,8,8,0.00,0,U3400AA00000100000217C816E5451A24,AA000001,15,269,Y,DISABLED,
381090,default,1,phase1,unknown,unknown,0,1,10,TAG,10060,139,139,8,8,0.00,0,U3400AA00001000000217C816B9B50634,AA000010,38,265,Y,DISABLED,
381090,default,1,phase1,unknown,unknown,0,1,10,TAG,10060,139,139,8,8,0.00,0,U3400AA00001100000217C81709175182,AA000011,27,267,Y,DISABLED,
381090,default,1,phase1,unknown,unknown,0,1,10,TAG,10060,139,139,8,8,0.00,0,U3400AA00001500000217C81695D44EF4,AA000015,61,139,Y,DISABLED,
381090,default,1,phase1,unknown,unknown,0,1,10,TAG,10060,139,139,8,8,0.00,0,U3400AA000019000002190F76DA4F628E,AA000019,9,1456,Y,DISABLED,
381090,default,1,phase1,unknown,unknown,0,1,10,TAG,10060,139,139,8,8,0.00,0,U3400BB00000200000217C8174535579C,BB000002,8,300,Y,DISABLED,
381090,default,1,phase1,unknown,unknown,0,1,10,TAG,10060,139,139,8,8,0.00,0,U3400BB00000800000217C816B957957C,BB000008,18,348,Y,DISABLED,
394298,default,1,phase1,unknown,unknown,0,2,10,SUMMARY,10076,163,163,9,8,0.00,0,,49543030|AA000001|AA000010|AA000011|AA000015|AA000019|BB000002|BB000008,,,Y,DISABLED,
394298,default,1,phase1,unknown,unknown,0,2,10,TAG,10076,163,163,9,8,0.00,0,U3400495430303030330000000000D29E,49543030,11,1950,Y,DISABLED,
394298,default,1,phase1,unknown,unknown,0,2,10,TAG,10076,163,163,9,8,0.00,0,U3400AA00000100000217C816E5451A24,AA000001,21,262,Y,DISABLED,
394298,default,1,phase1,unknown,unknown,0,2,10,TAG,10076,163,163,9,8,0.00,0,U3400AA00001000000217C816B9B50634,AA000010,41,163,Y,DISABLED,
394298,default,1,phase1,unknown,unknown,0,2,10,TAG,10076,163,163,9,8,0.00,0,U3400AA00001100000217C81709175182,AA000011,24,789,Y,DISABLED,
394298,default,1,phase1,unknown,unknown,0,2,10,TAG,10076,163,163,9,8,0.00,0,U3400AA00001500000217C81695D44EF4,AA000015,61,167,Y,DISABLED,
394298,default,1,phase1,unknown,unknown,0,2,10,TAG,10076,163,163,9,8,0.00,0,U3400AA00001900000217C81695E4CDB7,,1,4362,N,NO,
394298,default,1,phase1,unknown,unknown,0,2,10,TAG,10076,163,163,9,8,0.00,0,U3400AA000019000002190F76DA4F628E,AA000019,14,165,Y,DISABLED,
394298,default,1,phase1,unknown,unknown,0,2,10,TAG,10076,163,163,9,8,0.00,0,U3400BB00000200000217C8174535579C,BB000002,10,1668,Y,DISABLED,
394298,default,1,phase1,unknown,unknown,0,2,10,TAG,10076,163,163,9,8,0.00,0,U3400BB00000800000217C816B957957C,BB000008,17,169,Y,DISABLED,
408706,default,1,phase1,unknown,unknown,0,3,10,SUMMARY,10014,155,155,9,8,0.00,0,,49543030|AA000001|AA000010|AA000011|AA000015|AA000019|BB000002|BB000008,,,Y,DISABLED,
408706,default,1,phase1,unknown,unknown,0,3,10,TAG,10014,155,155,9,8,0.00,0,U3400495430303030330000000000D29E,49543030,7,661,Y,DISABLED,
408706,default,1,phase1,unknown,unknown,0,3,10,TAG,10014,155,155,9,8,0.00,0,U3400AA00000100000217C816E5451A24,AA000001,18,159,Y,DISABLED,
408706,default,1,phase1,unknown,unknown,0,3,10,TAG,10014,155,155,9,8,0.00,0,U3400AA00001000000217C816B9B50634,AA000010,36,157,Y,DISABLED,
408706,default,1,phase1,unknown,unknown,0,3,10,TAG,10014,155,155,9,8,0.00,0,U3400AA00001100000217C81709175182,AA000011,31,259,Y,DISABLED,
408706,default,1,phase1,unknown,unknown,0,3,10,TAG,10014,155,155,9,8,0.00,0,U3400AA00001500000217C81695D44EF4,AA000015,61,155,Y,DISABLED,
408706,default,1,phase1,unknown,unknown,0,3,10,TAG,10014,155,155,9,8,0.00,0,U3400AA00001900000217C81695E4CDB7,,1,9560,N,NO,
408706,default,1,phase1,unknown,unknown,0,3,10,TAG,10014,155,155,9,8,0.00,0,U3400AA000019000002190F76DA4F628E,AA000019,13,261,Y,DISABLED,
408706,default,1,phase1,unknown,unknown,0,3,10,TAG,10014,155,155,9,8,0.00,0,U3400BB00000200000217C8174535579C,BB000002,9,487,Y,DISABLED,
408706,default,1,phase1,unknown,unknown,0,3,10,TAG,10014,155,155,9,8,0.00,0,U3400BB00000800000217C816B957957C,BB000008,15,692,Y,DISABLED,
421914,default,1,phase1,unknown,unknown,0,4,10,SUMMARY,10021,154,154,8,8,0.00,0,,49543030|AA000001|AA000010|AA000011|AA000015|AA000019|BB000002|BB000008,,,Y,DISABLED,
421914,default,1,phase1,unknown,unknown,0,4,10,TAG,10021,154,154,8,8,0.00,0,U3400495430303030330000000000D29E,49543030,9,156,Y,DISABLED,
421914,default,1,phase1,unknown,unknown,0,4,10,TAG,10021,154,154,8,8,0.00,0,U3400AA00000100000217C816E5451A24,AA000001,22,259,Y,DISABLED,
421914,default,1,phase1,unknown,unknown,0,4,10,TAG,10021,154,154,8,8,0.00,0,U3400AA00001000000217C816B9B50634,AA000010,40,257,Y,DISABLED,
421914,default,1,phase1,unknown,unknown,0,4,10,TAG,10021,154,154,8,8,0.00,0,U3400AA00001100000217C81709175182,AA000011,29,154,Y,DISABLED,
421914,default,1,phase1,unknown,unknown,0,4,10,TAG,10021,154,154,8,8,0.00,0,U3400AA00001500000217C81695D44EF4,AA000015,59,160,Y,DISABLED,
421914,default,1,phase1,unknown,unknown,0,4,10,TAG,10021,154,154,8,8,0.00,0,U3400AA000019000002190F76DA4F628E,AA000019,13,158,Y,DISABLED,
421914,default,1,phase1,unknown,unknown,0,4,10,TAG,10021,154,154,8,8,0.00,0,U3400BB00000200000217C8174535579C,BB000002,6,1864,Y,DISABLED,
421914,default,1,phase1,unknown,unknown,0,4,10,TAG,10021,154,154,8,8,0.00,0,U3400BB00000800000217C816B957957C,BB000008,15,188,Y,DISABLED,
501222,default,1,phase1,unknown,unknown,0,5,10,SUMMARY,10029,154,154,10,9,0.00,0,,49543030|AA000001|AA000009|AA000010|AA000011|AA000015|AA000019|BB000002|BB000008,,,Y,DISABLED,
501222,default,1,phase1,unknown,unknown,0,5,10,TAG,10029,154,154,10,9,0.00,0,U3400495430303030330000000000D29E,49543030,11,256,Y,DISABLED,
501222,default,1,phase1,unknown,unknown,0,5,10,TAG,10029,154,154,10,9,0.00,0,U3400AA00000100000217C816E5451A24,AA000001,21,156,Y,DISABLED,
501222,default,1,phase1,unknown,unknown,0,5,10,TAG,10029,154,154,10,9,0.00,0,U3400AA00000900000217C816B995B374,AA000009,5,160,Y,DISABLED,
501222,default,1,phase1,unknown,unknown,0,5,10,TAG,10029,154,154,10,9,0.00,0,U3400AA00001000000217C816B9B50634,AA000010,38,154,Y,DISABLED,
501222,default,1,phase1,unknown,unknown,0,5,10,TAG,10029,154,154,10,9,0.00,0,U3400AA00001100000217C81709175182,AA000011,30,196,Y,DISABLED,
501222,default,1,phase1,unknown,unknown,0,5,10,TAG,10029,154,154,10,9,0.00,0,U3400AA00001500000217C81695D44EF4,AA000015,61,158,Y,DISABLED,
501222,default,1,phase1,unknown,unknown,0,5,10,TAG,10029,154,154,10,9,0.00,0,U3400AA00001900000217C81695E4CDB7,,2,2582,N,NO,
501222,default,1,phase1,unknown,unknown,0,5,10,TAG,10029,154,154,10,9,0.00,0,U3400AA000019000002190F76DA4F628E,AA000019,12,1158,Y,DISABLED,
501222,default,1,phase1,unknown,unknown,0,5,10,TAG,10029,154,154,10,9,0.00,0,U3400BB00000200000217C8174535579C,BB000002,7,2278,Y,DISABLED,
501222,default,1,phase1,unknown,unknown,0,5,10,TAG,10029,154,154,10,9,0.00,0,U3400BB00000800000217C816B957957C,BB000008,11,258,Y,DISABLED,
