record_time_ms,experiment_label,run_number,test_step,location,pattern,expected_tag_count,session_id,configured_scan_time_sec,row_type,actual_scan_time_ms,first_read_time_all_ms,first_valid_read_time_ms,total_unique_tags,valid_tag_count,recognition_rate_pct,ghost_read_count,raw_tag_id,server_tag_id,tag_read_count,tag_first_read_time_ms,passed_minimum_rule,server_send_state,memo
26689,default,1,phase1,unknown,unknown,0,1,10,SUMMARY,10060,152,152,10,8,0.00,0,,49543030|AA000001|AA000002|AA000011|AA000014|AA000019|AA000019|BB000002,,,Y,DISABLED,
26689,default,1,phase1,unknown,unknown,0,1,10,TAG,10060,152,152,10,8,0.00,0,U3400495430303030330000000000D29E,49543030,6,1496,Y,DISABLED,
26689,default,1,phase1,unknown,unknown,0,1,10,TAG,10060,152,152,10,8,0.00,0,U3400AA00000100000217C816E5451A24,AA000001,61,152,Y,DISABLED,
26689,default,1,phase1,unknown,unknown,0,1,10,TAG,10060,152,152,10,8,0.00,0,U3400AA00000200000217C81709352B18,AA000002,18,564,Y,DISABLED,
26689,default,1,phase1,unknown,unknown,0,1,10,TAG,10060,152,152,10,8,0.00,0,U3400AA00001000000217C816B9B50634,,3,3301,N,NO,
26689,default,1,phase1,unknown,unknown,0,1,10,TAG,10060,152,152,10,8,0.00,0,U3400AA00001100000217C81709175182,AA000011,63,154,Y,DISABLED,
26689,default,1,phase1,unknown,unknown,0,1,10,TAG,10060,152,152,10,8,0.00,0,U3400AA00001400000217C816B9152F31,AA000014,29,351,Y,DISABLED,
26689,default,1,phase1,unknown,unknown,0,1,10,TAG,10060,152,152,10,8,0.00,0,U3400AA00001500000217C81695D44EF4,,2,1363,N,NO,
26689,default,1,phase1,unknown,unknown,0,1,10,TAG,10060,152,152,10,8,0.00,0,U3400AA00001900000217C81695E4CDB7,AA000019,24,1051,Y,DISABLED,
26689,default,1,phase1,unknown,unknown,0,1,10,TAG,10060,152,152,10,8,0.00,0,U3400AA000019000002190F76DA4F628E,AA000019,52,183,Y,DISABLED,
26689,default,1,phase1,unknown,unknown,0,1,10,TAG,10060,152,152,10,8,0.00,0,U3400BB00000200000217C8174535579C,BB000002,8,598,Y,DISABLED,
40098,default,1,phase1,unknown,unknown,0,2,10,SUMMARY,10027,147,147,10,9,0.00,0,,49543030|AA000001|AA000002|AA000011|AA000014|AA000015|AA000019|AA000019|BB000002,,,Y,DISABLED,
40098,default,1,phase1,unknown,unknown,0,2,10,TAG,10027,147,147,10,9,0.00,0,U3400495430303030330000000000D29E,49543030,10,582,Y,DISABLED,
40098,default,1,phase1,unknown,unknown,0,2,10,TAG,10027,147,147,10,9,0.00,0,U3400AA00000100000217C816E5451A24,AA000001,65,149,Y,DISABLED,
40098,default,1,phase1,unknown,unknown,0,2,10,TAG,10027,147,147,10,9,0.00,0,U3400AA00000200000217C81709352B18,AA000002,22,153,Y,DISABLED,
40098,default,1,phase1,unknown,unknown,0,2,10,TAG,10027,147,147,10,9,0.00,0,U3400AA00001000000217C816B9B50634,,2,5464,N,NO,
40098,default,1,phase1,unknown,unknown,0,2,10,TAG,10027,147,147,10,9,0.00,0,U3400AA00001100000217C81709175182,AA000011,64,263,Y,DISABLED,
40098,default,1,phase1,unknown,unknown,0,2,10,TAG,10027,147,147,10,9,0.00,0,U3400AA00001400000217C816B9152F31,AA000014,27,291,Y,DISABLED,
40098,default,1,phase1,unknown,unknown,0,2,10,TAG,10027,147,147,10,9,0.00,0,U3400AA00001500000217C81695D44EF4,AA000015,6,151,Y,DISABLED,
40098,default,1,phase1,unknown,unknown,0,2,10,TAG,10027,147,147,10,9,0.00,0,U3400AA00001900000217C81695E4CDB7,AA000019,27,487,Y,DISABLED,
40098,default,1,phase1,unknown,unknown,0,2,10,TAG,10027,147,147,10,9,0.00,0,U3400AA000019000002190F76DA4F628E,AA000019,57,147,Y,DISABLED,
40098,default,1,phase1,unknown,unknown,0,2,10,TAG,10027,147,147,10,9,0.00,0,U3400BB00000200000217C8174535579C,BB000002,11,187,Y,DISABLED,
52408,default,1,phase1,unknown,unknown,0,3,10,SUMMARY,10085,157,157,10,9,0.00,0,,49543030|AA000001|AA000002|AA000010|AA000011|AA000014|AA000019|AA000019|BB000002,,,Y,DISABLED,
52408,default,1,phase1,unknown,unknown,0,3,10,TAG,10085,157,157,10,9,0.00,0,U3400495430303030330000000000D29E,49543030,8,766,Y,DISABLED,
52408,default,1,phase1,unknown,unknown,0,3,10,TAG,10085,157,157,10,9,0.00,0,U3400AA00000100000217C816E5451A24,AA000001,55,159,Y,DISABLED,
52408,default,1,phase1,unknown,unknown,0,3,10,TAG,10085,157,157,10,9,0.00,0,U3400AA00000200000217C81709352B18,AA000002,18,266,Y,DISABLED,
