record_time_ms,experiment_label,run_number,test_step,location,pattern,expected_tag_count,session_id,configured_scan_time_sec,row_type,actual_scan_time_ms,first_read_time_all_ms,first_valid_read_time_ms,total_unique_tags,valid_tag_count,recognition_rate_pct,ghost_read_count,raw_tag_id,server_tag_id,tag_read_count,tag_first_read_time_ms,passed_minimum_rule,server_send_state,memo
230190,default,1,phase1,unknown,unknown,0,1,10,SUMMARY,10090,159,159,9,7,0.00,0,,49543030|AA000001|AA000010|AA000011|AA000015|AA000019|AA000019,,,Y,DISABLED,
230190,default,1,phase1,unknown,unknown,0,1,10,TAG,10090,159,159,9,7,0.00,0,U30004954303030313100000000001C1A,,1,3154,N,NO,
230190,default,1,phase1,unknown,unknown,0,1,10,TAG,10090,159,159,9,7,0.00,0,U3400495430303030330000000000D29E,49543030,6,299,Y,DISABLED,
230190,default,1,phase1,unknown,unknown,0,1,10,TAG,10090,159,159,9,7,0.00,0,U3400AA00000100000217C816E5451A24,AA000001,64,161,Y,DISABLED,
230190,default,1,phase1,unknown,unknown,0,1,10,TAG,10090,159,159,9,7,0.00,0,U3400AA00001000000217C816B9B50634,AA000010,58,159,Y,DISABLED,
230190,default,1,phase1,unknown,unknown,0,1,10,TAG,10090,159,159,9,7,0.00,0,U3400AA00001100000217C81709175182,AA000011,57,163,Y,DISABLED,
230190,default,1,phase1,unknown,unknown,0,1,10,TAG,10090,159,159,9,7,0.00,0,U3400AA00001500000217C81695D44EF4,AA000015,61,165,Y,DISABLED,
230190,default,1,phase1,unknown,unknown,0,1,10,TAG,10090,159,159,9,7,0.00,0,U3400AA00001900000217C81695E4CDB7,AA000019,33,688,Y,DISABLED,
230190,default,1,phase1,unknown,unknown,0,1,10,TAG,10090,159,159,9,7,0.00,0,U3400AA000019000002190F76DA4F628E,AA000019,5,3000,Y,DISABLED,
230190,default,1,phase1,unknown,unknown,0,1,10,TAG,10090,159,159,9,7,0.00,0,U3400BB00000200000217C8174535579C,,4,1781,N,NO,
251698,default,1,phase1,unknown,unknown,0,2,10,SUMMARY,10067,154,154,8,6,0.00,0,,49543030|AA000001|AA000010|AA000011|AA000015|AA000019,,,Y,DISABLED,
251698,default,1,phase1,unknown,unknown,0,2,10,TAG,10067,154,154,8,6,0.00,0,U3400495430303030330000000000D29E,49543030,11,154,Y,DISABLED,
251698,default,1,phase1,unknown,unknown,0,2,10,TAG,10067,154,154,8,6,0.00,0,U3400AA00000100000217C816E5451A24,AA000001,64,158,Y,DISABLED,
251698,default,1,phase1,unknown,unknown,0,2,10,TAG,10067,154,154,8,6,0.00,0,U3400AA00001000000217C816B9B50634,AA000010,62,156,Y,DISABLED,
251698,default,1,phase1,unknown,unknown,0,2,10,TAG,10067,154,154,8,6,0.00,0,U3400AA00001100000217C81709175182,AA000011,61,256,Y,DISABLED,
251698,default,1,phase1,unknown,unknown,0,2,10,TAG,10067,154,154,8,6,0.00,0,U3400AA00001500000217C81695D44EF4,AA000015,63,192,Y,DISABLED,
251698,default,1,phase1,unknown,unknown,0,2,10,TAG,10067,154,154,8,6,0.00,0,U3400AA00001900000217C81695E4CDB7,AA000019,35,160,Y,DISABLED,
251698,default,1,phase1,unknown,unknown,0,2,10,TAG,10067,154,154,8,6,0.00,0,U3400AA000019000002190F76DA4F628E,,3,5357,N,NO,
251698,default,1,phase1,unknown,unknown,0,2,10,TAG,10067,154,154,8,6,0.00,0,U3400BB00000200000217C8174535579C,,4,2661,N,NO,
272605,default,1,phase1,unknown,unknown,0,3,10,SUMMARY,10034,156,156,8,7,0.00,0,,49543030|AA000001|AA000010|AA000011|AA000015|AA000019|BB000002,,,Y,DISABLED,
272605,default,1,phase1,unknown,unknown,0,3,10,TAG,10034,156,156,8,7,0.00,0,U3400495430303030330000000000D29E,49543030,8,1161,Y,DISABLED,
272605,default,1,phase1,unknown,unknown,0,3,10,TAG,10034,156,156,8,7,0.00,0,U3400AA00000100000217C816E5451A24,AA000001,64,156,Y,DISABLED,
272605,default,1,phase1,unknown,unknown,0,3,10,TAG,10034,156,156,8,7,0.00,0,U3400AA00001000000217C816B9B50634,AA000010,59,162,Y,DISABLED,
272605,default,1,phase1,unknown,unknown,0,3,10,TAG,10034,156,156,8,7,0.00,0,U3400AA00001100000217C81709175182,AA000011,58,300,Y,DISABLED,
272605,default,1,phase1,unknown,unknown,0,3,10,TAG,10034,156,156,8,7,0.00,0,U3400AA00001500000217C81695D44EF4,AA000015,61,263,Y,DISABLED,
272605,default,1,phase1,unknown,unknown,0,3,10,TAG,10034,156,156,8,7,0.00,0,U3400AA00001900000217C81695E4CDB7,AA000019,31,160,Y,DISABLED,
272605,default,1,phase1,unknown,unknown,0,3,10,TAG,10034,156,156,8,7,0.00,0,U3400AA000019000002190F76DA4F628E,,4,158,N,NO,
272605,default,1,phase1,unknown,unknown,0,3,10,TAG,10034,156,156,8,7,0.00,0,U3400BB00000200000217C8174535579C,BB000002,5,4049,Y,DISABLED,
