record_time_ms,experiment_label,run_number,test_step,location,pattern,expected_tag_count,session_id,configured_scan_time_sec,row_type,actual_scan_time_ms,first_read_time_all_ms,first_valid_read_time_ms,total_unique_tags,valid_tag_count,recognition_rate_pct,ghost_read_count,raw_tag_id,server_tag_id,tag_read_count,tag_first_read_time_ms,passed_minimum_rule,server_send_state,memo
210490,default,1,phase1,unknown,unknown,0,1,10,SUMMARY,10060,158,158,9,6,0.00,0,,AA000001|AA000010|AA000011|AA000015|AA000019|BB000002,,,Y,DISABLED,
210490,default,1,phase1,unknown,unknown,0,1,10,TAG,10060,158,158,9,6,0.00,0,U30004954303030313100000000001C1A,,1,4590,N,NO,
210490,default,1,phase1,unknown,unknown,0,1,10,TAG,10060,158,158,9,6,0.00,0,U3400495430303030330000000000D29E,,1,160,N,NO,
210490,default,1,phase1,unknown,unknown,0,1,10,TAG,10060,158,158,9,6,0.00,0,U3400AA00000100000217C816E5451A24,AA000001,68,207,Y,DISABLED,
210490,default,1,phase1,unknown,unknown,0,1,10,TAG,10060,158,158,9,6,0.00,0,U3400AA00001000000217C816B9B50634,AA000010,65,162,Y,DISABLED,
210490,default,1,phase1,unknown,unknown,0,1,10,TAG,10060,158,158,9,6,0.00,0,U3400AA00001100000217C81709175182,AA000011,59,158,Y,DISABLED,
210490,default,1,phase1,unknown,unknown,0,1,10,TAG,10060,158,158,9,6,0.00,0,U3400AA00001500000217C81695D44EF4,AA000015,60,164,Y,DISABLED,
210490,default,1,phase1,unknown,unknown,0,1,10,TAG,10060,158,158,9,6,0.00,0,U3400AA00001900000217C81695E4CDB7,AA000019,30,494,Y,DISABLED,
210490,default,1,phase1,unknown,unknown,0,1,10,TAG,10060,158,158,9,6,0.00,0,U3400AA000019000002190F76DA4F628E,,3,4456,N,NO,
210490,default,1,phase1,unknown,unknown,0,1,10,TAG,10060,158,158,9,6,0.00,0,U3400BB00000200000217C8174535579C,BB000002,5,4160,Y,DISABLED,
224598,default,1,phase1,unknown,unknown,0,2,10,SUMMARY,10097,147,147,9,7,0.00,0,,49543030|AA000001|AA000010|AA000011|AA000015|AA000019|AA000019,,,Y,DISABLED,
224598,default,1,phase1,unknown,unknown,0,2,10,TAG,10097,147,147,9,7,0.00,0,U3400495430303030330000000000D29E,49543030,8,1061,Y,DISABLED,
224598,default,1,phase1,unknown,unknown,0,2,10,TAG,10097,147,147,9,7,0.00,0,U3400AA00000100000217C816E5451A24,AA000001,70,147,Y,DISABLED,
224598,default,1,phase1,unknown,unknown,0,2,10,TAG,10097,147,147,9,7,0.00,0,U3400AA00001000000217C816B9B50634,AA000010,65,363,Y,DISABLED,
