record_time_ms,experiment_label,run_number,test_step,location,pattern,expected_tag_count,session_id,configured_scan_time_sec,row_type,actual_scan_time_ms,first_read_time_all_ms,first_valid_read_time_ms,total_unique_tags,valid_tag_count,recognition_rate_pct,ghost_read_count,raw_tag_id,server_tag_id,tag_read_count,tag_first_read_time_ms,passed_minimum_rule,server_send_state,memo
82890,default,1,phase1,unknown,unknown,0,1,10,SUMMARY,10080,147,147,7,5,0.00,0,,AA000002|AA000010|AA000011|AA000015|BB000008,,,Y,DISABLED,
82890,default,1,phase1,unknown,unknown,0,1,10,TAG,10080,147,147,7,5,0.00,0,U3400495430303030330000000000D29E,,3,451,N,NO,
82890,default,1,phase1,unknown,unknown,0,1,10,TAG,10080,147,147,7,5,0.00,0,U3400AA00000200000217C81709352B18,AA000002,15,149,Y,DISABLED,
82890,default,1,phase1,unknown,unknown,0,1,10,TAG,10080,147,147,7,5,0.00,0,U3400AA00000900000217C816B995B374,,1,1972,N,NO,
82890,default,1,phase1,unknown,unknown,0,1,10,TAG,10080,147,147,7,5,0.00,0,U3400AA00001000000217C816B9B50634,AA000010,12,849,Y,DISABLED,
82890,default,1,phase1,unknown,unknown,0,1,10,TAG,10080,147,147,7,5,0.00,0,U3400AA00001100000217C81709175182,AA000011,35,147,Y,DISABLED,
82890,default,1,phase1,unknown,unknown,0,1,10,TAG,10080,147,147,7,5,0.00,0,U3400AA00001500000217C81695D44EF4,AA000015,15,2347,Y,DISABLED,
82890,default,1,phase1,unknown,unknown,0,1,10,TAG,10080,147,147,7,5,0.00,0,U3400BB00000800000217C816B957957C,BB000008,26,262,Y,DISABLED,
94196,default,1,phase1,unknown,unknown,0,2,10,SUMMARY,10026,147,147,7,3,0.00,0,,AA000011|AA000015|BB000008,,,Y,DISABLED,
94196,default,1,phase1,unknown,unknown,0,2,10,TAG,10026,147,147,7,3,0.00,0,U3400495430303030330000000000D29E,,4,2851,N,NO,
94196,default,1,phase1,unknown,unknown,0,2,10,TAG,10026,147,147,7,3,0.00,0,U3400AA00000900000217C816B995B374,,2,5358,N,NO,
94196,default,1,phase1,unknown,unknown,0,2,10,TAG,10026,147,147,7,3,0.00,0,U3400AA00001100000217C81709175182,AA000011,65,149,Y,DISABLED,
94196,default,1,phase1,unknown,unknown,0,2,10,TAG,10026,147,147,7,3,0.00,0,U3400AA00001500000217C81695D44EF4,AA000015,56,147,Y,DISABLED,
94196,default,1,phase1,unknown,unknown,0,2,10,TAG,10026,147,147,7,3,0.00,0,U3400BB00000200000217C8174535579C,,3,2759,N,NO,
94196,default,1,phase1,unknown,unknown,0,2,10,TAG,10026,147,147,7,3,0.00,0,U3400BB00000800000217C816B957957C,BB000008,45,178,Y,DISABLED,
94196,default,1,phase1,unknown,unknown,0,2,10,TAG,10026,147,147,7,3,0.00,0,U3400CC00000400000217C81709B558C6,,2,8582,N,NO,
106202,default,1,phase1,unknown,unknown,0,3,10,SUMMARY,10052,147,147,5,4,0.00,0,,49543030|AA000011|AA000015|BB000008,,,Y,DISABLED,
106202,default,1,phase1,unknown,unknown,0,3,10,TAG,10052,147,147,5,4,0.00,0,U3400495430303030330000000000D29E,49543030,5,1965,Y,DISABLED,
106202,default,1,phase1,unknown,unknown,0,3,10,TAG,10052,147,147,5,4,0.00,0,U3400AA00001100000217C81709175182,AA000011,53,347,Y,DISABLED,
106202,default,1,phase1,unknown,unknown,0,3,10,TAG,10052,147,147,5,4,0.00,0,U3400AA00001500000217C81695D44EF4,AA000015,64,147,Y,DISABLED,
106202,default,1,phase1,unknown,unknown,0,3,10,TAG,10052,147,147,5,4,0.00,0,U3400AA00001900000217C81695E4CDB7,,1,9045,N,NO,
106202,default,1,phase1,unknown,unknown,0,3,10,TAG,10052,147,147,5,4,0.00,0,U3400BB00000800000217C816B957957C,BB000008,18,149,Y,DISABLED,
119306,default,1,phase1,unknown,unknown,0,4,10,SUMMARY,10056,140,140,6,5,0.00,0,,AA000002|AA000010|AA000011|AA000015|BB000008,,,Y,DISABLED,
119306,default,1,phase1,unknown,unknown,0,4,10,TAG,10056,140,140,6,5,0.00,0,U3400495430303030330000000000D29E,,4,2251,N,NO,
119306,default,1,phase1,unknown,unknown,0,4,10,TAG,10056,140,140,6,5,0.00,0,U3400AA00000200000217C81709352B18,AA000002,31,1047,Y,DISABLED,
119306,default,1,phase1,unknown,unknown,0,4,10,TAG,10056,140,140,6,5,0.00,0,U3400AA00001000000217C816B9B50634,AA000010,23,1049,Y,DISABLED,
119306,default,1,phase1,unknown,unknown,0,4,10,TAG,10056,140,140,6,5,0.00,0,U3400AA00001100000217C81709175182,AA000011,22,2053,Y,DISABLED,
119306,default,1,phase1,unknown,unknown,0,4,10,TAG,10056,140,140,6,5,0.00,0,U3400AA00001500000217C81695D44EF4,AA000015,63,140,Y,DISABLED,
119306,default,1,phase1,unknown,unknown,0,4,10,TAG,10056,140,140,6,5,0.00,0,U3400BB00000800000217C816B957957C,BB000008,5,1814,Y,DISABLED,
131912,default,1,phase1,unknown,unknown,0,5,10,SUMMARY,10090,551,551,6,6,0.00,0,,49543030|AA000002|AA000010|AA000011|AA000015|BB000008,,,Y,DISABLED,
131912,default,1,phase1,unknown,unknown,0,5,10,TAG,10090,551,551,6,6,0.00,0,U3400495430303030330000000000D29E,49543030,6,1656,Y,DISABLED,
131912,default,1,phase1,unknown,unknown,0,5,10,TAG,10090,551,551,6,6,0.00,0,U3400AA00000200000217C81709352B18,AA000002,16,551,Y,DISABLED,
131912,default,1,phase1,unknown,unknown,0,5,10,TAG,10090,551,551,6,6,0.00,0,U3400AA00001000000217C816B9B50634,AA000010,10,650,Y,DISABLED,
131912,default,1,phase1,unknown,unknown,0,5,10,TAG,10090,551,551,6,6,0.00,0,U3400AA00001100000217C81709175182,AA000011,23,2665,Y,DISABLED,
131912,default,1,phase1,unknown,unknown,0,5,10,TAG,10090,551,551,6,6,0.00,0,U3400AA00001500000217C81695D44EF4,AA000015,47,553,Y,DISABLED,
131912,default,1,phase1,unknown,unknown,0,5,10,TAG,10090,551,551,6,6,0.00,0,U3400BB00000800000217C816B957957C,BB000008,36,1940,Y,DISABLED,
